"Product ID";Immagine;Nome;Riferimento;Categoria;"Prezzo (tasse escl.)";"Prezzo (tasse incl.)";Quantità;Stato;Posizione
28;https://eurocka.it/1391/motrac-moto.jpg;"MOTRAC 125CC";JJ125-9;home;2249.166667;2699;14;0;0
2445;https://eurocka.it/1362/motarc-50cc.jpg;"Motrac 50cc";motrac;"Moto 4T ";1665.833333;1999;21;0;1
2451;https://eurocka.it/1390/eurocka-moto-motrac-250cc.jpg;"MOTO EUROCKA MOTRAC 250CC";;"Moto 4T ";3000.000000;3600;15;0;2
2492;https://eurocka.it/1443/eurocka-moto-roadster-jj49q-10-50cc-4t.jpg;"MOTO EUROCKA ROADSTER JJ49Q-10 50CC 4T";"ROADSTER 50cc 4T";"Moto 4T ";1582.500000;1899;0;1;3
2493;https://eurocka.it/1453/roadster-125cc-.jpg;"ROADSTER 125cc ";JJ125-10;"Moto 4T ";2332.500000;2799;4;0;4
2663;https://eurocka.it/1863/moto-eurocka-3xf-50cc.jpg;"Moto CKA RACER 50cc";;home;1582.500000;1899;10;0;6
2704;https://eurocka.it/2154/moto-cka-racer-50cc.jpg;"Moto CKA LEGEND 50cc";;"Moto 4T ";1665.833333;1999;0;1;7
2705;https://eurocka.it/1964/moto-cka-racer-ii-50c.jpg;"Moto CKA RACER II 50cc 4T Negro/rojo";;"Moto 4T ";1415.833333;1699;0;1;8
2857;https://eurocka.it/2181/moto-cka-racer-gris-50cc.jpg;"Moto CKA RACER GRIS 50cc";EUROCKA;"Moto 4T ";1665.833333;1999;10;0;9
